device_id,event_start,event_end,duration_min,peak_level,peak_time,peak_excess,max_rise_rate_per_hr,severity
MM-01089,2025-01-01 13:40:00,2025-01-02 02:20:00,760.0,910.0,2025-01-01 15:05:00,2147.0,120.0,1538.8999999999999
MM-01089,2025-01-06 12:45:00,2025-01-06 13:30:00,45.0,939.0,2025-01-06 13:25:00,2173.0,13032.0,5430.7
MM-01089,2025-01-06 14:20:00,2025-01-06 15:00:00,40.0,935.0,2025-01-06 14:20:00,2170.0,13008.0,5421.4
MM-01089,2025-01-06 17:00:00,2025-01-07 15:55:00,1375.0,943.0,2025-01-07 13:35:00,2178.0,13308.0,5517.0
MM-01089,2025-01-07 18:10:00,2025-01-07 21:40:00,210.0,942.0,2025-01-07 21:15:00,1089.5,48.0,777.05
MM-01089,2025-01-14 12:50:00,2025-01-14 13:30:00,40.0,997.0,2025-01-14 13:25:00,58.0,36.0,51.39999999999999
MM-01089,2025-01-14 14:10:00,2025-01-15 11:50:00,1300.0,997.0,2025-01-14 16:15:00,2232.0,408.0,1684.8
MM-01089,2025-01-15 13:05:00,2025-01-15 14:05:00,60.0,975.0,2025-01-15 13:05:00,31.0,36.0,32.5
MM-01089,2025-01-16 09:30:00,2025-01-16 11:50:00,140.0,997.0,2025-01-16 09:30:00,36.0,0.0,25.2
MM-01089,2025-01-16 12:35:00,2025-01-17 08:45:00,1210.0,997.0,2025-01-16 12:35:00,36.0,228.0,93.6
MM-01089,2025-01-22 20:15:00,2025-01-23 12:40:00,985.0,997.0,2025-01-23 11:45:00,40.0,26616.0,8012.799999999999
MM-01089,2025-01-23 14:50:00,2025-01-24 06:50:00,960.0,997.0,2025-01-23 14:50:00,40.0,0.0,28.0
MM-01089,2025-01-30 11:40:00,2025-01-30 12:20:00,40.0,917.0,2025-01-30 11:40:00,52.0,642.0,229.0
MM-01089,2025-02-01 14:50:00,2025-02-01 16:00:00,70.0,892.0,2025-02-01 15:10:00,47.0,300.0,122.9
MM-01089,2025-02-02 13:00:00,2025-02-02 19:10:00,370.0,878.0,2025-02-02 13:00:00,41.0,510.0,181.7
MM-01089,2025-02-02 21:35:00,2025-02-02 22:15:00,40.0,874.0,2025-02-02 21:35:00,37.0,12.0,29.5
MM-01089,2025-02-03 11:05:00,2025-02-04 15:30:00,1705.0,973.5,2025-02-04 13:40:00,261.0,2358.0,890.0999999999999
MM-01089,2025-02-24 11:20:00,2025-02-24 12:50:00,90.0,948.0,2025-02-24 11:25:00,39.0,108.0,59.699999999999996
MM-01089,2025-02-26 11:10:00,2025-02-27 15:20:00,1690.0,964.0,2025-02-27 08:20:00,2199.0,5160.0,3087.3
MM-01089,2025-03-01 13:45:00,2025-03-02 13:50:00,1445.0,975.0,2025-03-02 02:55:00,50.0,294.0,123.2
MM-01089,2025-03-06 01:25:00,2025-03-06 10:25:00,540.0,994.0,2025-03-06 01:25:00,32.0,66.0,42.2
MM-01089,2025-03-08 19:25:00,2025-03-08 20:35:00,70.0,943.0,2025-03-08 20:05:00,58.0,36.0,51.39999999999999
MM-01089,2025-03-09 12:05:00,2025-03-09 13:00:00,55.0,939.0,2025-03-09 12:05:00,258.0,12.0,184.2
MM-01089,2025-03-09 16:15:00,2025-03-09 18:15:00,120.0,940.0,2025-03-09 18:00:00,259.0,1536.0,642.0999999999999
MM-01089,2025-03-12 11:00:00,2025-03-12 11:45:00,45.0,947.5,2025-03-12 11:20:00,265.5,2964.0,1075.05
MM-01089,2025-07-19 16:50:00,2025-07-19 18:20:00,90.0,447.0,2025-07-19 17:10:00,148.0,1716.0,618.4
MM-01089,2025-07-19 19:05:00,2025-07-19 20:00:00,55.0,444.0,2025-07-19 19:25:00,145.0,1224.0,468.7
